	Lemme	Number of occurrence
235	attention	125.14493161164698
236	patte	125.14493161164698
237	couche	125.14493161164698
238	tombe	124.02756615082869
239	coquin	123.65511099722261
240	minute	123.28265584361651
241	côme	122.53774553640432
242	matteo	121.79283522919214
243	maîtresse	121.79283522919214
244	crayon	121.79283522919214
245	pyjama	121.42038007558605
246	ami	121.42038007558605
247	vélo	121.42038007558605
248	derrière	121.04792492197996
249	compte	121.04792492197996
250	bouton	120.67546976837386
251	anniversaire	119.93055946116168
252	mot	119.93055946116168
253	tonton	119.1856491539495
254	premier	119.1856491539495
255	banane	118.8131940003434
256	pareil	118.44073884673732
257	guili	118.06828369313122
258	papier	118.06828369313122
259	film	117.69582853952514
260	lumière	117.69582853952514
261	arthur	116.20600792510075
262	assiette	116.20600792510075
263	problème	116.20600792510075
264	image	115.83355277149467
265	son	114.34373215707029
266	monde	114.34373215707029
267	boule	113.22636669625201
268	mouton	113.22636669625201
269	ensemble	112.10900123543375
270	vingt	111.36409092822156
271	catherine	110.99163577461547
272	nouveau	110.99163577461547
273	nom	109.5018151601911
274	piscine	109.5018151601911
275	mois	108.38444969937282
276	dos	108.38444969937282
277	balle	108.38444969937282
278	café	108.01199454576673
279	fromage	108.01199454576673
280	grenouille	108.01199454576673
281	nuit	108.01199454576673
282	malade	107.63953939216063
283	bouge	106.89462908494845
284	jardin	106.89462908494845
285	pauvre	106.89462908494845
286	aliyah	106.52217393134237
287	poussin	106.52217393134237
288	lucien	106.14971877773627
289	moins	106.14971877773627
290	nina	105.77726362413017
291	singe	105.77726362413017
292	chloé	105.40480847052409
293	coin	105.40480847052409
294	demain	105.03235331691799
295	louane	104.28744300970581
296	guillaume	103.54253270249363
297	soupe	103.17007754888753
298	pique	102.42516724167535
299	part	102.05271208806926
300	grégoire	101.68025693446317
301	garde	100.93534662725098
302	fenêtre	100.93534662725098
303	jambe	100.56289147364488
304	colle	100.19043632003878
305	papillon	99.4455260128266
306	garage	99.07307085922051
307	danse	99.07307085922051
308	luc	98.70061570561442
309	soeur	98.70061570561442
310	fini	98.32816055200833
311	girafe	98.32816055200833
312	vrai	97.95570539840224
313	pol	95.34851932315959
314	jus	94.97606416955351
315	fesse	94.23115386234133
316	noël	93.85869870873523
317	âge	92.74133324791696
318	clown	92.36887809431086
319	lunette	92.36887809431086
320	lance	92.36887809431086
321	rita	91.99642294070476
322	couteau	91.99642294070476
323	naomi	91.62396778709866
324	poche	90.87905747988648
325	mur	90.87905747988648
326	mouchoir	90.5066023262804
327	travail	89.7616920190682
328	passé	89.38923686546212
329	massimo	89.01678171185603
330	langue	88.64432655824994
331	personne	88.27187140464385
332	serpent	88.27187140464385
333	lili	87.89941625103775
334	tortue	87.52696109743167
335	copine	86.78205079021949
336	robe	86.78205079021949
337	semaine	86.78205079021949
338	forme	86.78205079021949
339	ogre	85.29223017579511
340	fruit	84.91977502218903
341	château	84.54731986858292
342	envers	84.54731986858292
343	famille	84.54731986858292
344	bête	84.17486471497682
345	moto	83.80240956137074
346	câlin	83.05749925415856
347	peinture	82.31258894694636
348	tomate	82.31258894694636
349	sucette	81.56767863973418
350	sucre	81.56767863973418
351	possible	81.56767863973418
352	neige	81.1952234861281
353	tracteur	81.1952234861281
354	toit	81.1952234861281
355	roue	80.4503131789159
356	culotte	80.07785802530982
357	souffle	79.70540287170373
358	juliette	79.33294771809763
359	allée	79.33294771809763
360	hippopotame	79.33294771809763
361	docteur	78.58803741088545
362	étoile	77.09821679646109
363	bord	77.09821679646109
364	lina	76.72576164285499
365	prêt	76.3533064892489
366	bouchon	76.3533064892489
367	enzo	75.9808513356428
368	chl	75.9808513356428
369	savoir	75.9808513356428
370	dodo	75.6083961820367
371	escargot	75.23594102843062
372	course	75.23594102843062
373	année	74.86348587482452
374	bonbon	74.86348587482452
375	fraise	74.86348587482452
376	devant	74.49103072121844
377	gens	74.49103072121844
378	martine	74.11857556761234
379	croissant	73.74612041400624
380	habitude	73.74612041400624
381	début	73.37366526040016
382	tigre	73.00121010679406
383	tape	73.00121010679406
